nom_departement;nom_zone;nom_station;code_station;polluant;niveau;unite;mesure;etat;date;TZ
Loire-Atlantique;"Basse Loire";Frossay;68;PM10;33;microg/m3;"moyenne journalière";V;2021-03-08;UTC
Loire-Atlantique;"Basse Loire";Frossay;68;PM10;36;microg/m3;"moyenne journalière";V;2021-03-09;UTC
Loire-Atlantique;"Basse Loire";Frossay;68;PM10;21;microg/m3;"moyenne journalière";V;2021-03-10;UTC
Loire-Atlantique;"Basse Loire";Frossay;68;PM10;17;microg/m3;"moyenne journalière";V;2021-03-11;UTC
Loire-Atlantique;"Basse Loire";Frossay;68;PM10;15;microg/m3;"moyenne journalière";V;2021-03-12;UTC
Loire-Atlantique;"Basse Loire";Frossay;68;PM10;;;"moyenne journalière";;2021-03-13;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;18;microg/m3;"moyenne journalière";V;2021-02-28;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;30;microg/m3;"moyenne journalière";V;2021-03-01;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;36;microg/m3;"moyenne journalière";V;2021-03-02;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;33;microg/m3;"moyenne journalière";V;2021-03-03;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;21;microg/m3;"moyenne journalière";V;2021-03-04;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;18;microg/m3;"moyenne journalière";V;2021-03-05;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;18;microg/m3;"moyenne journalière";V;2021-03-06;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;22;microg/m3;"moyenne journalière";V;2021-03-07;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;32;microg/m3;"moyenne journalière";V;2021-03-08;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;48;microg/m3;"moyenne journalière";V;2021-03-09;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;31;microg/m3;"moyenne journalière";V;2021-03-10;UTC
"Maine et Loire";Cholet;Saint-Exupery;78;PM10;14;microg/m3;"moyenne journalière";V;2021-03-11;UTC
